Site Number,Location Description,Type,Source,Map Reference,MelwayPrefix,Road_1,Road_2
4276,AUBURN NR AIREDALE,POS,Melway,059F02,059,Auburn Nr Airedale,
2848,AUBURN NR BURGESS,POS,Melway,059E03,059,Auburn Nr Burgess,
4286,AUBURN NR CATO,POS,Melway,059E04,059,Auburn Nr Cato,
4260,AUBURN/RATHMINES/LIDDIARD,INT,Melway,045F10,045,Auburn,Rathmines
4271,AUBURN/RIVERSDALE,INT,Melway,045F12,045,Auburn,Riversdale
4096,BALACLAVA NR KINROSS,POS,Melway,059A12,059,Balaclava Nr Kinross,
4075,BALACLAVA/HAWTHORN,INT,Melway,059B12,059,Balaclava,Hawthorn
4076,BALACLAVA/KAMBROOK,INT,Melway,059D12,059,Balaclava,Kambrook
4077,BALACLAVA/NORMANBY,INT,Melway,059D12,059,Balaclava,Normanby
4069,BALWYN NR MILLAH,POS,Melway,046D08,046,Balwyn Nr Millah,
4057,BALWYN/BELMORE,INT,Melway,046E05,046,Balwyn,Belmore
4066,BALWYN/MONT ALBERT,INT,Melway,046D09,046,Balwyn,Mont Albert
3000,BARKERS NR FINDON,POS,Melway,045A09,045,Barkers Nr Findon,
3005,BARKERS NR KILDARE,POS,Melway,045H09,045,Barkers Nr Kildare,
3004,BARKERS/AUBURN/WRIXON,INT,Melway,045F08,045,Barkers,Auburn
3001,BARKERS/CHURCH/HIGH,INT,Melway,045A08,045,Barkers,Church
3002,BARKERS/DENMARK/POWER,INT,Melway,045B08,045,Barkers,Denmark
3003,BARKERS/GLENFERRIE,INT,Melway,045D08,045,Barkers,Glenferrie
4058,BELMORE NR ALANDALE,POS,Melway,046F05,046,Belmore Nr Alandale,
4056,BELMORE NR BUCHANAN,POS,Melway,046C05,046,Belmore Nr Buchanan,
3800,BELMORE NR UNION,POS,Melway,046J05,046,Belmore Nr Union,
4059,BELMORE/GREYTHORN,INT,Melway,046H05,046,Belmore,Greythorn
3936,BERESFORD NR EARLE,POS,Melway,046K09,046,Beresford Nr Earle,
362,BLACKBURN NR CHERRY,POS,Melway,061K10,061,Blackburn Nr Cherry,
453,BLACKBURN NR TAMBO,POS,Melway,061K11,061,Blackburn Nr Tambo,
358,BLACKBURN/HIGH ST RD,INT,Melway,061K12,061,Blackburn,High St Rd
